session_id,user_mode,subject_or_project,duration_minutes,difficulty_rating,productivity_rating,days_since_last_study,habit_streak_days,next_review_days
sess_0092,LIFELONG_LEARNER,Python & FastAPI,120,5,4,27,43,7
sess_0093,LIFELONG_LEARNER,Python & FastAPI,25,5,4,5,13,3
sess_0094,STUDENT,Matematik (Türev),120,5,2,4,28,2
sess_0095,LIFELONG_LEARNER,İngilizce Pratik,120,4,5,21,33,7
sess_0096,STUDENT,Türkçe,45,1,1,8,17,4
sess_0097,STUDENT,Fizik (Mekanik),45,1,4,19,6,15
sess_0098,STUDENT,Biyoloji,120,4,1,14,28,3
sess_0099,STUDENT,Fizik (Mekanik),120,3,2,7,30,3
sess_0100,STUDENT,Türkçe,120,2,2,14,24,5
sess_0101,STUDENT,Matematik (Türev),45,1,5,6,37,17
sess_0102,LIFELONG_LEARNER,Finansal Okuryazarlık,120,2,5,12,13,10
sess_0103,STUDENT,Matematik (Türev),120,4,2,16,7,4
sess_0104,STUDENT,Türkçe,90,3,4,17,26,7
sess_0105,LIFELONG_LEARNER,React & TypeScript,25,3,1,13,1,3
sess_0106,STUDENT,Matematik (Türev),60,3,3,23,16,7
sess_0107,STUDENT,Matematik (Türev),25,4,5,14,36,6
sess_0108,LIFELONG_LEARNER,Python & FastAPI,90,5,3,29,13,6
sess_0109,STUDENT,Biyoloji,60,5,4,7,24,4
sess_0110,STUDENT,Biyoloji,120,2,5,14,29,10
sess_0111,STUDENT,Kimya (Organik),90,5,3,15,28,4
sess_0112,STUDENT,Fizik (Mekanik),120,5,4,12,19,4
sess_0113,LIFELONG_LEARNER,Python & FastAPI,45,3,1,17,20,4
sess_0114,LIFELONG_LEARNER,Python & FastAPI,90,3,4,9,21,6
sess_0115,LIFELONG_LEARNER,Python & FastAPI,45,2,5,22,34,11
sess_0116,LIFELONG_LEARNER,İngilizce Pratik,90,1,2,15,36,8
sess_0117,LIFELONG_LEARNER,Finansal Okuryazarlık,90,2,1,12,15,3
sess_0118,STUDENT,Kimya (Organik),45,2,3,2,42,5
sess_0119,LIFELONG_LEARNER,React & TypeScript,60,4,5,5,16,5
sess_0120,STUDENT,Türkçe,25,4,2,13,15,4
sess_0121,LIFELONG_LEARNER,React & TypeScript,120,2,4,27,1,10
sess_0122,LIFELONG_LEARNER,Python & FastAPI,90,2,2,20,3,6
sess_0123,STUDENT,Biyoloji,120,2,5,23,20,11
sess_0124,STUDENT,Biyoloji,45,5,5,8,38,4
sess_0125,STUDENT,Kimya (Organik),120,4,2,27,33,6
sess_0126,STUDENT,Biyoloji,45,2,4,14,29,8
sess_0127,LIFELONG_LEARNER,Python & FastAPI,120,3,2,15,5,4
sess_0128,LIFELONG_LEARNER,İngilizce Pratik,25,3,5,11,16,7
sess_0129,STUDENT,Türkçe,25,5,5,1,38,3
sess_0130,STUDENT,Kimya (Organik),25,5,3,21,24,5
sess_0131,STUDENT,Türkçe,25,1,3,3,4,10
sess_0132,STUDENT,Fizik (Mekanik),25,1,1,17,4,6
sess_0133,STUDENT,Kimya (Organik),25,1,5,28,19,20
sess_0134,STUDENT,Fizik (Mekanik),45,5,3,19,15,5
sess_0135,LIFELONG_LEARNER,Python & FastAPI,90,5,2,14,40,3
sess_0136,STUDENT,Fizik (Mekanik),120,5,4,22,36,6
sess_0137,STUDENT,Matematik (Türev),25,3,2,23,39,6
sess_0138,LIFELONG_LEARNER,Python & FastAPI,45,5,4,8,8,4
sess_0139,STUDENT,Fizik (Mekanik),45,3,3,13,4,5
sess_0140,LIFELONG_LEARNER,İngilizce Pratik,45,1,1,27,41,7
sess_0141,LIFELONG_LEARNER,Finansal Okuryazarlık,90,1,2,20,1,9
sess_0142,STUDENT,Türkçe,120,1,2,3,8,7
sess_0143,STUDENT,Türkçe,90,2,2,5,42,4
sess_0144,STUDENT,Matematik (Türev),60,2,4,9,35,8
sess_0145,STUDENT,Matematik (Türev),45,4,3,29,21,7
sess_0146,STUDENT,Kimya (Organik),60,4,2,6,21,2
sess_0147,LIFELONG_LEARNER,Finansal Okuryazarlık,25,4,2,25,21,5
sess_0148,STUDENT,Fizik (Mekanik),25,2,1,22,33,5
sess_0149,STUDENT,Matematik (Türev),90,2,1,2,28,2
sess_0150,STUDENT,Türkçe,120,4,3,13,37,4
sess_0151,LIFELONG_LEARNER,İngilizce Pratik,60,4,3,5,32,3
sess_0152,STUDENT,Fizik (Mekanik),120,5,5,28,17,7
sess_0153,STUDENT,Kimya (Organik),90,4,1,27,6,5
sess_0154,STUDENT,Fizik (Mekanik),25,5,5,25,0,7
sess_0155,LIFELONG_LEARNER,React & TypeScript,120,3,4,8,32,5
sess_0156,STUDENT,Matematik (Türev),120,2,5,23,0,11
sess_0157,LIFELONG_LEARNER,Finansal Okuryazarlık,25,4,2,1,23,2
sess_0158,LIFELONG_LEARNER,İngilizce Pratik,60,2,5,20,3,11
sess_0159,STUDENT,Kimya (Organik),25,2,3,12,3,6
sess_0160,LIFELONG_LEARNER,React & TypeScript,120,2,4,23,17,10
sess_0161,STUDENT,Türkçe,60,3,2,11,26,4
sess_0162,LIFELONG_LEARNER,Finansal Okuryazarlık,60,1,5,7,42,17
sess_0163,LIFELONG_LEARNER,Python & FastAPI,25,4,4,15,31,5
sess_0164,STUDENT,Matematik (Türev),120,1,4,22,32,16
sess_0165,STUDENT,Matematik (Türev),90,1,2,24,27,10
sess_0166,LIFELONG_LEARNER,Finansal Okuryazarlık,120,1,5,11,41,17
sess_0167,STUDENT,Türkçe,45,2,4,29,40,11
sess_0168,STUDENT,Fizik (Mekanik),90,5,4,22,35,6
sess_0169,STUDENT,Kimya (Organik),60,2,1,26,5,5
sess_0170,STUDENT,Matematik (Türev),90,2,4,16,15,9
sess_0171,LIFELONG_LEARNER,Finansal Okuryazarlık,60,1,1,3,33,4
sess_0172,STUDENT,Kimya (Organik),60,2,5,20,22,11
sess_0173,STUDENT,Kimya (Organik),90,1,5,14,41,18
sess_0174,STUDENT,Biyoloji,60,5,5,3,23,4
sess_0175,LIFELONG_LEARNER,Python & FastAPI,60,4,3,1,12,2
sess_0176,STUDENT,Matematik (Türev),45,1,5,26,17,20
sess_0177,LIFELONG_LEARNER,İngilizce Pratik,120,5,4,21,12,6
sess_0178,STUDENT,Matematik (Türev),120,4,2,15,36,4
sess_0179,LIFELONG_LEARNER,React & TypeScript,45,3,1,1,42,1
sess_0180,STUDENT,Biyoloji,90,1,3,17,38,12
sess_0181,STUDENT,Fizik (Mekanik),25,1,5,2,41,16
sess_0182,STUDENT,Matematik (Türev),25,3,5,29,16,10
sess_0183,LIFELONG_LEARNER,İngilizce Pratik,25,3,2,20,14,5
sess_0184,LIFELONG_LEARNER,Finansal Okuryazarlık,45,1,2,6,17,7
sess_0185,STUDENT,Matematik (Türev),45,3,3,8,22,4
sess_0186,LIFELONG_LEARNER,Python & FastAPI,60,2,1,29,29,6
sess_0187,LIFELONG_LEARNER,İngilizce Pratik,25,4,5,16,33,6
sess_0188,STUDENT,Kimya (Organik),90,4,3,19,3,5
sess_0189,STUDENT,Fizik (Mekanik),90,4,4,1,2,3
sess_0190,STUDENT,Biyoloji,25,2,4,3,6,7
sess_0191,STUDENT,Kimya (Organik),25,3,3,28,17,7
sess_0192,LIFELONG_LEARNER,Python & FastAPI,25,5,5,3,41,4
sess_0193,LIFELONG_LEARNER,Finansal Okuryazarlık,45,3,3,5,6,4
sess_0194,LIFELONG_LEARNER,React & TypeScript,45,1,5,27,39,20
sess_0195,STUDENT,Fizik (Mekanik),45,4,2,12,5,3
sess_0196,STUDENT,Türkçe,120,3,3,12,21,5
sess_0197,LIFELONG_LEARNER,Finansal Okuryazarlık,90,5,5,20,0,6
sess_0198,LIFELONG_LEARNER,Finansal Okuryazarlık,90,1,3,13,3,11
sess_0199,LIFELONG_LEARNER,Python & FastAPI,60,2,3,20,42,8
sess_0200,LIFELONG_LEARNER,Finansal Okuryazarlık,45,2,5,9,28,9
sess_0201,LIFELONG_LEARNER,Python & FastAPI,120,5,5,7,20,4
sess_0202,STUDENT,Türkçe,120,1,1,4,25,4
sess_0203,STUDENT,Matematik (Türev),90,4,3,19,13,5
sess_0204,LIFELONG_LEARNER,React & TypeScript,45,3,4,22,8,7
sess_0205,LIFELONG_LEARNER,Finansal Okuryazarlık,60,1,3,19,11,12
sess_0206,STUDENT,Türkçe,45,2,3,6,41,6
sess_0207,STUDENT,Türkçe,25,5,5,27,5,7
sess_0208,LIFELONG_LEARNER,İngilizce Pratik,45,5,3,13,19,4
sess_0209,STUDENT,Fizik (Mekanik),25,3,3,11,23,5
sess_0210,STUDENT,Kimya (Organik),25,5,4,13,26,4
sess_0211,STUDENT,Fizik (Mekanik),60,5,5,13,37,5
sess_0212,LIFELONG_LEARNER,Finansal Okuryazarlık,90,1,3,28,7,14
sess_0213,LIFELONG_LEARNER,İngilizce Pratik,45,4,2,25,0,5
sess_0214,STUDENT,Türkçe,25,3,1,22,23,4
sess_0215,LIFELONG_LEARNER,Python & FastAPI,45,1,4,28,6,17
sess_0216,STUDENT,Matematik (Türev),90,4,3,20,18,5
sess_0217,STUDENT,Kimya (Organik),90,1,2,15,21,8
sess_0218,LIFELONG_LEARNER,Finansal Okuryazarlık,120,1,3,21,34,13
sess_0219,LIFELONG_LEARNER,Finansal Okuryazarlık,90,5,3,13,29,4
sess_0220,LIFELONG_LEARNER,Finansal Okuryazarlık,60,4,5,22,28,7
sess_0221,LIFELONG_LEARNER,Python & FastAPI,25,3,5,11,21,7
sess_0222,STUDENT,Kimya (Organik),120,3,5,19,10,8
sess_0223,STUDENT,Kimya (Organik),60,4,2,8,19,3
sess_0224,STUDENT,Matematik (Türev),45,5,3,20,28,5
sess_0225,STUDENT,Türkçe,25,2,1,8,40,3
sess_0226,STUDENT,Kimya (Organik),90,1,4,10,41,14
sess_0227,LIFELONG_LEARNER,Python & FastAPI,25,5,5,26,33,7
sess_0228,STUDENT,Matematik (Türev),45,4,5,16,0,6
sess_0229,LIFELONG_LEARNER,Python & FastAPI,120,1,3,19,30,12
sess_0230,LIFELONG_LEARNER,React & TypeScript,120,3,3,26,29,7
sess_0231,LIFELONG_LEARNER,Finansal Okuryazarlık,120,2,2,23,17,7
sess_0232,STUDENT,Kimya (Organik),90,3,2,11,16,4
sess_0233,STUDENT,Biyoloji,60,4,5,13,37,6
sess_0234,STUDENT,Türkçe,60,1,3,28,13,14
sess_0235,STUDENT,Kimya (Organik),25,4,1,9,22,2
sess_0236,LIFELONG_LEARNER,Python & FastAPI,90,1,4,20,24,16
sess_0237,STUDENT,Fizik (Mekanik),120,5,3,24,14,5
sess_0238,STUDENT,Matematik (Türev),120,2,3,19,21,8
sess_0239,LIFELONG_LEARNER,İngilizce Pratik,45,5,2,16,2,4
sess_0240,STUDENT,Fizik (Mekanik),45,5,4,7,18,4
sess_0241,LIFELONG_LEARNER,React & TypeScript,120,4,5,19,43,7
sess_0242,LIFELONG_LEARNER,Finansal Okuryazarlık,120,2,3,12,33,6
sess_0243,LIFELONG_LEARNER,İngilizce Pratik,90,1,5,15,34,18
sess_0244,STUDENT,Türkçe,60,1,3,23,0,13
sess_0245,STUDENT,Fizik (Mekanik),45,3,5,14,20,7
sess_0246,LIFELONG_LEARNER,Finansal Okuryazarlık,60,1,4,11,28,14
sess_0247,STUDENT,Fizik (Mekanik),90,4,2,26,5,5
sess_0248,LIFELONG_LEARNER,React & TypeScript,120,5,4,10,36,4
sess_0249,LIFELONG_LEARNER,Python & FastAPI,60,5,1,27,0,5
sess_0250,LIFELONG_LEARNER,Python & FastAPI,120,5,2,11,0,3
sess_0251,STUDENT,Biyoloji,120,2,4,6,26,7
sess_0252,STUDENT,Fizik (Mekanik),25,1,1,2,20,3
sess_0253,LIFELONG_LEARNER,Finansal Okuryazarlık,60,4,3,11,15,4
sess_0254,STUDENT,Türkçe,60,2,3,19,43,8
sess_0255,STUDENT,Kimya (Organik),120,3,5,6,39,6
sess_0256,STUDENT,Matematik (Türev),90,4,2,14,25,4
sess_0257,LIFELONG_LEARNER,Python & FastAPI,25,4,3,20,15,5
sess_0258,LIFELONG_LEARNER,Python & FastAPI,120,4,2,6,27,2
sess_0259,STUDENT,Fizik (Mekanik),45,5,3,17,0,4
sess_0260,STUDENT,Biyoloji,45,4,5,10,35,5
sess_0261,LIFELONG_LEARNER,Finansal Okuryazarlık,25,1,4,28,9,17
sess_0262,LIFELONG_LEARNER,Finansal Okuryazarlık,90,4,5,1,42,4
sess_0263,STUDENT,Türkçe,120,5,1,3,16,1
sess_0264,STUDENT,Kimya (Organik),60,4,3,8,22,4
sess_0265,LIFELONG_LEARNER,Finansal Okuryazarlık,25,3,1,8,6,2
sess_0266,LIFELONG_LEARNER,React & TypeScript,90,3,1,27,43,5
sess_0267,LIFELONG_LEARNER,İngilizce Pratik,60,5,2,20,6,4
sess_0268,LIFELONG_LEARNER,React & TypeScript,45,1,3,22,43,13
sess_0269,STUDENT,Fizik (Mekanik),45,1,1,15,14,5
sess_0270,STUDENT,Matematik (Türev),60,2,4,24,33,10
sess_0271,LIFELONG_LEARNER,Finansal Okuryazarlık,25,5,1,7,44,2
sess_0272,LIFELONG_LEARNER,React & TypeScript,45,4,4,11,3,5
sess_0273,LIFELONG_LEARNER,İngilizce Pratik,120,5,2,7,13,2
sess_0274,LIFELONG_LEARNER,Finansal Okuryazarlık,60,2,1,29,13,6
sess_0275,STUDENT,Biyoloji,60,5,5,4,15,4
sess_0276,STUDENT,Türkçe,45,5,2,25,6,5
sess_0277,LIFELONG_LEARNER,Python & FastAPI,25,2,4,12,31,8
sess_0278,LIFELONG_LEARNER,React & TypeScript,120,1,2,26,18,10
sess_0279,LIFELONG_LEARNER,Finansal Okuryazarlık,25,4,1,6,1,2
sess_0280,LIFELONG_LEARNER,Finansal Okuryazarlık,90,2,3,14,9,7
sess_0281,LIFELONG_LEARNER,Finansal Okuryazarlık,90,3,3,12,16,5
sess_0282,STUDENT,Biyoloji,45,1,4,11,36,14
sess_0283,STUDENT,Fizik (Mekanik),45,3,4,19,11,7
sess_0284,STUDENT,Biyoloji,45,1,3,21,5,13
sess_0285,STUDENT,Kimya (Organik),90,4,4,5,21,4
sess_0286,STUDENT,Matematik (Türev),25,4,2,14,31,4
sess_0287,STUDENT,Biyoloji,25,5,5,21,40,6
sess_0288,STUDENT,Matematik (Türev),45,3,5,24,19,9
sess_0289,STUDENT,Fizik (Mekanik),120,1,2,16,0,9
sess_0290,STUDENT,Matematik (Türev),25,4,5,25,5,8
sess_0291,STUDENT,Fizik (Mekanik),90,2,1,13,18,4
sess_0292,STUDENT,Kimya (Organik),60,4,2,25,17,5
sess_0293,LIFELONG_LEARNER,React & TypeScript,60,2,4,29,5,11
sess_0294,STUDENT,Fizik (Mekanik),60,1,2,22,44,10
sess_0295,STUDENT,Türkçe,120,4,3,22,32,6
sess_0296,STUDENT,Biyoloji,45,4,4,25,22,7
sess_0297,LIFELONG_LEARNER,Finansal Okuryazarlık,90,1,3,20,22,12
sess_0298,STUDENT,Kimya (Organik),120,4,4,22,25,6
sess_0299,LIFELONG_LEARNER,İngilizce Pratik,90,2,5,4,12,8
sess_0300,STUDENT,Biyoloji,90,4,2,11,6,3
sess_0301,STUDENT,Türkçe,45,3,1,17,14,4
sess_0302,STUDENT,Biyoloji,60,5,4,7,43,4
sess_0303,STUDENT,Türkçe,45,2,4,14,26,8
sess_0304,LIFELONG_LEARNER,İngilizce Pratik,120,3,3,26,25,7
sess_0305,LIFELONG_LEARNER,Python & FastAPI,120,1,5,11,32,17
sess_0306,LIFELONG_LEARNER,React & TypeScript,120,2,3,28,14,9
sess_0307,STUDENT,Kimya (Organik),45,5,3,22,35,5
sess_0308,STUDENT,Kimya (Organik),90,5,5,9,44,4
sess_0309,LIFELONG_LEARNER,React & TypeScript,90,1,1,23,26,7
sess_0310,STUDENT,Fizik (Mekanik),25,1,3,13,4,11
sess_0311,STUDENT,Fizik (Mekanik),120,2,3,23,1,8
sess_0312,STUDENT,Fizik (Mekanik),90,4,4,18,32,6
sess_0313,STUDENT,Türkçe,25,1,5,28,15,20
sess_0314,LIFELONG_LEARNER,Finansal Okuryazarlık,90,4,2,11,22,3
sess_0315,LIFELONG_LEARNER,Python & FastAPI,120,3,1,15,37,3
sess_0316,LIFELONG_LEARNER,İngilizce Pratik,60,5,1,25,15,4
sess_0317,STUDENT,Türkçe,120,4,5,26,13,8
sess_0318,STUDENT,Matematik (Türev),45,5,4,25,28,6
sess_0319,STUDENT,Türkçe,90,4,4,22,25,6
sess_0320,STUDENT,Türkçe,90,3,5,29,34,10
sess_0321,STUDENT,Kimya (Organik),45,1,4,19,14,15
sess_0322,LIFELONG_LEARNER,Finansal Okuryazarlık,45,3,1,1,2,1
sess_0323,LIFELONG_LEARNER,Finansal Okuryazarlık,60,1,1,4,22,4
sess_0324,STUDENT,Fizik (Mekanik),90,1,2,14,28,8
sess_0325,LIFELONG_LEARNER,İngilizce Pratik,90,5,5,14,33,5
sess_0326,LIFELONG_LEARNER,React & TypeScript,60,3,3,3,32,4
sess_0327,STUDENT,Biyoloji,25,4,3,28,40,7
sess_0328,LIFELONG_LEARNER,React & TypeScript,60,3,2,17,40,5
sess_0329,STUDENT,Kimya (Organik),120,5,2,3,22,2
sess_0330,STUDENT,Kimya (Organik),90,1,4,16,6,15
sess_0331,STUDENT,Kimya (Organik),45,5,2,14,2,3
sess_0332,LIFELONG_LEARNER,Python & FastAPI,120,2,2,20,31,6
sess_0333,STUDENT,Biyoloji,90,2,3,29,30,9
sess_0334,STUDENT,Biyoloji,60,4,4,13,17,5
sess_0335,STUDENT,Türkçe,120,5,2,15,42,4
sess_0336,STUDENT,Türkçe,90,4,2,14,6,4
sess_0337,LIFELONG_LEARNER,İngilizce Pratik,25,4,4,24,40,7
sess_0338,LIFELONG_LEARNER,Finansal Okuryazarlık,25,2,5,25,0,12
sess_0339,STUDENT,Türkçe,45,4,4,19,13,6
sess_0340,STUDENT,Kimya (Organik),90,2,3,6,31,6
sess_0341,STUDENT,Biyoloji,25,1,5,10,5,17
sess_0342,STUDENT,Kimya (Organik),60,5,1,27,38,5
sess_0343,STUDENT,Matematik (Türev),90,4,4,15,9,5
sess_0344,STUDENT,Türkçe,60,2,3,21,6,8
sess_0345,STUDENT,Kimya (Organik),60,3,5,22,25,9
sess_0346,LIFELONG_LEARNER,İngilizce Pratik,25,4,4,20,33,6
sess_0347,LIFELONG_LEARNER,Python & FastAPI,90,1,2,26,29,10
sess_0348,STUDENT,Fizik (Mekanik),120,1,4,6,35,13
sess_0349,STUDENT,Biyoloji,25,3,1,23,20,4
sess_0350,LIFELONG_LEARNER,React & TypeScript,25,2,4,25,16,10
sess_0351,STUDENT,Fizik (Mekanik),90,4,5,10,32,5
sess_0352,LIFELONG_LEARNER,Python & FastAPI,90,2,5,7,9,9
sess_0353,LIFELONG_LEARNER,İngilizce Pratik,60,1,4,22,41,16
sess_0354,STUDENT,Matematik (Türev),90,2,5,17,11,10
sess_0355,STUDENT,Matematik (Türev),60,1,2,18,15,9
sess_0356,LIFELONG_LEARNER,Finansal Okuryazarlık,25,2,4,17,40,9
sess_0357,STUDENT,Biyoloji,45,3,2,9,31,3
sess_0358,STUDENT,Fizik (Mekanik),120,5,2,10,14,3
sess_0359,LIFELONG_LEARNER,İngilizce Pratik,25,3,3,10,26,5
sess_0360,STUDENT,Biyoloji,90,3,4,25,27,8
sess_0361,STUDENT,Kimya (Organik),120,5,5,7,16,4
sess_0362,LIFELONG_LEARNER,Finansal Okuryazarlık,45,5,2,16,1,4
sess_0363,STUDENT,Biyoloji,45,4,3,29,35,7
sess_0364,STUDENT,Matematik (Türev),60,4,4,18,6,6
sess_0365,LIFELONG_LEARNER,Python & FastAPI,120,3,4,6,12,5
sess_0366,STUDENT,Türkçe,60,3,1,27,14,5
sess_0367,LIFELONG_LEARNER,Python & FastAPI,25,1,1,20,24,6
sess_0368,LIFELONG_LEARNER,Finansal Okuryazarlık,120,1,2,1,22,6
sess_0369,STUDENT,Kimya (Organik),25,4,1,1,21,1
sess_0370,STUDENT,Fizik (Mekanik),60,4,2,12,25,3
sess_0371,STUDENT,Biyoloji,120,1,5,21,32,19
sess_0372,STUDENT,Kimya (Organik),60,1,2,28,10,10
sess_0373,STUDENT,Türkçe,120,2,1,2,9,2
sess_0374,LIFELONG_LEARNER,Finansal Okuryazarlık,60,2,5,4,24,8
sess_0375,STUDENT,Biyoloji,45,1,1,17,36,6
sess_0376,STUDENT,Türkçe,60,2,2,4,42,4
sess_0377,LIFELONG_LEARNER,Finansal Okuryazarlık,45,5,3,11,37,4
sess_0378,STUDENT,Biyoloji,60,4,4,22,40,6
sess_0379,LIFELONG_LEARNER,React & TypeScript,120,4,1,26,44,5
sess_0380,STUDENT,Kimya (Organik),120,1,2,4,23,7
sess_0381,STUDENT,Biyoloji,120,3,5,1,39,5
sess_0382,LIFELONG_LEARNER,React & TypeScript,90,1,1,7,32,4
sess_0383,LIFELONG_LEARNER,İngilizce Pratik,25,2,1,18,16,4
sess_0384,LIFELONG_LEARNER,Python & FastAPI,120,3,4,9,23,6
sess_0385,LIFELONG_LEARNER,React & TypeScript,45,2,2,29,36,7
